title,description,category,priority,status,estimated_hours,dependency_count,issue_count,hours_since_update,hours_until_due,risk_level
Work Item 258,Operational work item for operations,Operations,HIGH,DONE,31.94,3,3,114.77,191.92,MEDIUM
Work Item 259,Operational work item for support,Support,MEDIUM,OPEN,21.46,3,5,117.88,212.44,HIGH
Work Item 260,Operational work item for maintenance,Maintenance,MEDIUM,BLOCKED,48.46,5,4,118.7,178.92,HIGH
Work Item 261,Operational work item for support,Support,MEDIUM,IN_PROGRESS,6.13,3,4,77.96,146.64,MEDIUM
Work Item 262,Operational work item for development,Development,LOW,IN_PROGRESS,41.5,1,2,21.18,54.48,LOW
Work Item 263,Operational work item for development,Development,HIGH,IN_PROGRESS,15.73,2,7,42.02,15.77,HIGH
Work Item 264,Operational work item for maintenance,Maintenance,LOW,IN_PROGRESS,77.56,0,0,111.33,238.79,LOW
Work Item 265,Operational work item for support,Support,LOW,IN_PROGRESS,14.74,1,2,90.99,167.65,LOW
Work Item 266,Operational work item for operations,Operations,MEDIUM,IN_PROGRESS,13.16,2,5,74.75,179.99,MEDIUM
Work Item 267,Operational work item for support,Support,LOW,OPEN,3.75,3,5,103.22,110.87,MEDIUM
Work Item 268,Operational work item for development,Development,LOW,DONE,31.9,2,3,57.2,12.56,MEDIUM
Work Item 269,Operational work item for inspection,Inspection,HIGH,DONE,68.32,1,0,39.49,223.72,LOW
Work Item 270,Operational work item for development,Development,MEDIUM,IN_PROGRESS,59.08,1,7,30.32,3.21,HIGH
Work Item 271,Operational work item for operations,Operations,LOW,IN_PROGRESS,55.96,1,1,9.73,54.4,LOW
Work Item 272,Operational work item for inspection,Inspection,MEDIUM,IN_PROGRESS,54.98,4,4,102.14,119.84,HIGH
Work Item 273,Operational work item for support,Support,LOW,IN_PROGRESS,38.97,4,2,98.96,84.78,LOW
Work Item 274,Operational work item for inspection,Inspection,MEDIUM,IN_PROGRESS,54.56,2,4,32.04,211.11,MEDIUM
Work Item 275,Operational work item for maintenance,Maintenance,LOW,IN_PROGRESS,64.0,3,0,18.88,40.18,LOW
Work Item 276,Operational work item for inspection,Inspection,MEDIUM,IN_PROGRESS,27.39,4,0,111.61,27.19,MEDIUM
Work Item 277,Operational work item for inspection,Inspection,MEDIUM,OPEN,56.22,3,6,105.8,230.79,HIGH
Work Item 278,Operational work item for maintenance,Maintenance,MEDIUM,OPEN,37.77,1,1,98.39,56.41,LOW
Work Item 279,Operational work item for operations,Operations,MEDIUM,BLOCKED,72.79,1,3,66.74,182.08,HIGH
Work Item 280,Operational work item for development,Development,MEDIUM,IN_PROGRESS,21.44,1,7,10.09,79.69,LOW
Work Item 281,Operational work item for operations,Operations,HIGH,OPEN,45.23,1,3,1.09,196.85,LOW
Work Item 282,Operational work item for operations,Operations,LOW,OPEN,11.15,2,5,2.21,104.87,LOW
Work Item 283,Operational work item for inspection,Inspection,MEDIUM,DONE,67.37,3,3,21.54,181.38,MEDIUM
Work Item 284,Operational work item for development,Development,LOW,BLOCKED,63.32,3,7,92.5,227.46,HIGH
Work Item 285,Operational work item for support,Support,LOW,BLOCKED,14.14,3,5,85.03,114.71,HIGH
Work Item 286,Operational work item for support,Support,HIGH,OPEN,5.58,2,1,104.58,233.69,MEDIUM
Work Item 287,Operational work item for development,Development,HIGH,IN_PROGRESS,77.54,3,2,15.61,182.47,MEDIUM
Work Item 288,Operational work item for development,Development,HIGH,IN_PROGRESS,2.94,2,0,38.83,118.3,LOW
Work Item 289,Operational work item for operations,Operations,LOW,IN_PROGRESS,61.86,1,6,53.51,67.12,HIGH
Work Item 290,Operational work item for maintenance,Maintenance,MEDIUM,DONE,79.77,0,2,54.17,40.94,MEDIUM
Work Item 291,Operational work item for development,Development,HIGH,OPEN,63.79,4,2,26.49,21.61,HIGH
Work Item 292,Operational work item for inspection,Inspection,LOW,BLOCKED,54.76,5,2,32.79,228.31,HIGH
Work Item 293,Operational work item for development,Development,LOW,IN_PROGRESS,12.93,3,4,113.23,101.9,MEDIUM
Work Item 294,Operational work item for maintenance,Maintenance,MEDIUM,IN_PROGRESS,51.44,5,2,32.91,236.19,MEDIUM
Work Item 295,Operational work item for operations,Operations,MEDIUM,OPEN,33.34,3,5,27.59,52.72,MEDIUM
Work Item 296,Operational work item for inspection,Inspection,HIGH,IN_PROGRESS,3.46,0,7,44.22,207.72,MEDIUM
Work Item 297,Operational work item for operations,Operations,HIGH,IN_PROGRESS,38.38,3,5,24.44,23.7,HIGH
Work Item 298,Operational work item for maintenance,Maintenance,HIGH,OPEN,13.14,2,5,63.64,6.25,HIGH
Work Item 299,Operational work item for maintenance,Maintenance,MEDIUM,IN_PROGRESS,63.95,3,4,109.42,232.27,HIGH
Work Item 300,Operational work item for support,Support,LOW,BLOCKED,15.65,0,5,14.08,31.79,MEDIUM
Work Item 301,Operational work item for inspection,Inspection,LOW,IN_PROGRESS,55.16,3,0,24.06,119.0,LOW
Work Item 302,Operational work item for operations,Operations,HIGH,DONE,6.07,5,4,32.28,191.82,MEDIUM
Work Item 303,Operational work item for development,Development,MEDIUM,IN_PROGRESS,25.52,4,0,1.39,19.24,LOW
Work Item 304,Operational work item for inspection,Inspection,HIGH,OPEN,32.01,5,6,72.0,71.42,HIGH
Work Item 305,Operational work item for support,Support,LOW,IN_PROGRESS,55.9,0,3,93.58,11.43,MEDIUM
Work Item 306,Operational work item for development,Development,HIGH,BLOCKED,38.96,0,0,12.34,137.88,LOW
Work Item 307,Operational work item for inspection,Inspection,HIGH,BLOCKED,2.45,5,5,25.24,84.35,HIGH
Work Item 308,Operational work item for inspection,Inspection,MEDIUM,IN_PROGRESS,62.29,1,3,8.69,129.15,LOW
Work Item 309,Operational work item for support,Support,LOW,BLOCKED,70.72,5,0,98.94,87.16,HIGH
Work Item 310,Operational work item for maintenance,Maintenance,MEDIUM,IN_PROGRESS,26.45,5,6,24.1,166.98,MEDIUM
Work Item 311,Operational work item for maintenance,Maintenance,MEDIUM,IN_PROGRESS,65.89,1,6,80.45,228.47,HIGH
Work Item 312,Operational work item for development,Development,LOW,OPEN,10.81,2,5,71.37,148.75,LOW
Work Item 313,Operational work item for operations,Operations,MEDIUM,OPEN,49.42,0,1,112.22,227.47,LOW
Work Item 314,Operational work item for support,Support,LOW,IN_PROGRESS,50.4,3,5,73.47,117.29,MEDIUM
Work Item 315,Operational work item for development,Development,MEDIUM,IN_PROGRESS,53.2,3,5,98.08,109.65,HIGH
Work Item 316,Operational work item for maintenance,Maintenance,HIGH,IN_PROGRESS,51.84,0,3,87.79,21.43,HIGH
Work Item 317,Operational work item for operations,Operations,LOW,DONE,5.77,3,4,57.51,148.55,LOW
Work Item 318,Operational work item for support,Support,LOW,DONE,26.99,5,3,89.31,209.5,MEDIUM
Work Item 319,Operational work item for development,Development,MEDIUM,IN_PROGRESS,35.26,2,3,66.64,173.17,LOW
Work Item 320,Operational work item for development,Development,HIGH,OPEN,19.05,0,2,78.04,49.49,MEDIUM
Work Item 321,Operational work item for support,Support,MEDIUM,IN_PROGRESS,54.74,4,5,3.68,63.33,MEDIUM
Work Item 322,Operational work item for development,Development,LOW,DONE,37.55,5,4,87.26,178.76,MEDIUM
Work Item 323,Operational work item for inspection,Inspection,LOW,IN_PROGRESS,34.61,3,3,44.52,237.06,LOW
Work Item 324,Operational work item for support,Support,HIGH,BLOCKED,4.17,0,2,69.44,106.39,MEDIUM
Work Item 325,Operational work item for support,Support,MEDIUM,OPEN,58.3,3,1,71.73,190.72,MEDIUM
Work Item 326,Operational work item for support,Support,LOW,OPEN,52.75,2,2,34.06,87.48,LOW
Work Item 327,Operational work item for maintenance,Maintenance,MEDIUM,BLOCKED,31.32,1,7,100.32,58.12,HIGH
Work Item 328,Operational work item for inspection,Inspection,MEDIUM,DONE,62.3,3,7,72.22,152.54,HIGH
Work Item 329,Operational work item for operations,Operations,LOW,IN_PROGRESS,30.46,1,6,49.56,18.45,MEDIUM
Work Item 330,Operational work item for support,Support,MEDIUM,OPEN,35.54,5,3,48.6,143.11,MEDIUM
Work Item 331,Operational work item for maintenance,Maintenance,LOW,IN_PROGRESS,46.77,3,1,11.43,157.21,LOW
Work Item 332,Operational work item for support,Support,LOW,IN_PROGRESS,25.66,3,1,102.96,4.15,MEDIUM
Work Item 333,Operational work item for maintenance,Maintenance,MEDIUM,DONE,47.48,3,7,47.6,58.41,HIGH
Work Item 334,Operational work item for development,Development,LOW,DONE,19.54,1,2,53.04,80.75,LOW
Work Item 335,Operational work item for support,Support,HIGH,OPEN,36.45,3,5,17.49,108.97,MEDIUM
Work Item 336,Operational work item for inspection,Inspection,HIGH,IN_PROGRESS,47.44,3,0,30.3,87.5,LOW
Work Item 337,Operational work item for development,Development,LOW,DONE,30.97,2,4,42.81,128.98,LOW
Work Item 338,Operational work item for support,Support,HIGH,DONE,62.76,3,7,70.24,208.65,HIGH
Work Item 339,Operational work item for support,Support,LOW,IN_PROGRESS,17.26,4,3,32.37,15.59,MEDIUM
Work Item 340,Operational work item for support,Support,MEDIUM,IN_PROGRESS,42.96,3,1,4.72,31.06,LOW
Work Item 341,Operational work item for support,Support,MEDIUM,DONE,36.72,4,2,37.94,122.72,LOW
Work Item 342,Operational work item for inspection,Inspection,LOW,OPEN,4.28,1,3,118.4,231.7,LOW
Work Item 343,Operational work item for support,Support,MEDIUM,DONE,1.39,1,0,76.69,208.56,LOW
Work Item 344,Operational work item for inspection,Inspection,HIGH,OPEN,36.92,2,1,41.12,128.67,LOW
Work Item 345,Operational work item for support,Support,MEDIUM,IN_PROGRESS,10.93,5,4,17.23,225.68,LOW
Work Item 346,Operational work item for inspection,Inspection,MEDIUM,OPEN,58.9,1,4,11.27,162.08,LOW
Work Item 347,Operational work item for development,Development,HIGH,IN_PROGRESS,36.06,4,6,21.26,166.84,MEDIUM
Work Item 348,Operational work item for operations,Operations,LOW,OPEN,67.21,1,2,81.99,120.33,MEDIUM
Work Item 349,Operational work item for operations,Operations,LOW,IN_PROGRESS,49.81,0,3,13.57,191.33,LOW
Work Item 350,Operational work item for maintenance,Maintenance,MEDIUM,BLOCKED,73.58,0,2,112.91,198.79,HIGH
Work Item 351,Operational work item for development,Development,HIGH,IN_PROGRESS,53.69,0,1,41.83,39.91,MEDIUM
Work Item 352,Operational work item for support,Support,MEDIUM,DONE,48.79,0,0,48.83,209.24,LOW
Work Item 353,Operational work item for development,Development,LOW,IN_PROGRESS,62.81,4,6,88.61,211.09,HIGH
Work Item 354,Operational work item for support,Support,MEDIUM,OPEN,32.93,5,3,80.11,194.27,HIGH
Work Item 355,Operational work item for operations,Operations,LOW,IN_PROGRESS,61.22,0,6,52.27,196.64,MEDIUM
Work Item 356,Operational work item for inspection,Inspection,HIGH,IN_PROGRESS,10.5,5,6,0.69,79.25,MEDIUM
Work Item 357,Operational work item for inspection,Inspection,MEDIUM,OPEN,29.95,4,2,46.63,108.79,LOW
Work Item 358,Operational work item for inspection,Inspection,HIGH,DONE,19.77,0,2,27.27,19.42,MEDIUM
Work Item 359,Operational work item for operations,Operations,MEDIUM,IN_PROGRESS,48.67,5,5,74.34,112.31,HIGH
Work Item 360,Operational work item for support,Support,HIGH,OPEN,31.0,1,7,62.29,116.05,HIGH
Work Item 361,Operational work item for operations,Operations,LOW,OPEN,3.03,1,0,45.62,96.92,LOW
Work Item 362,Operational work item for operations,Operations,LOW,DONE,46.83,3,3,72.95,184.04,MEDIUM
Work Item 363,Operational work item for maintenance,Maintenance,LOW,OPEN,65.23,1,3,114.66,6.34,HIGH
Work Item 364,Operational work item for operations,Operations,LOW,OPEN,16.47,4,3,114.56,157.82,MEDIUM
Work Item 365,Operational work item for maintenance,Maintenance,LOW,DONE,31.03,3,4,57.5,48.3,LOW
Work Item 366,Operational work item for maintenance,Maintenance,HIGH,IN_PROGRESS,14.14,3,7,62.77,161.48,HIGH
Work Item 367,Operational work item for maintenance,Maintenance,LOW,DONE,74.44,3,2,69.71,23.33,HIGH
Work Item 368,Operational work item for maintenance,Maintenance,LOW,BLOCKED,57.69,1,0,117.21,197.92,MEDIUM
Work Item 369,Operational work item for support,Support,MEDIUM,OPEN,42.28,3,1,95.97,45.93,HIGH
Work Item 370,Operational work item for operations,Operations,LOW,BLOCKED,24.33,0,1,22.23,220.43,LOW
Work Item 371,Operational work item for development,Development,LOW,OPEN,34.54,5,6,97.89,90.9,HIGH
Work Item 372,Operational work item for inspection,Inspection,MEDIUM,IN_PROGRESS,42.59,2,4,72.19,196.97,MEDIUM
Work Item 373,Operational work item for operations,Operations,MEDIUM,OPEN,70.85,0,1,25.45,147.41,LOW
Work Item 374,Operational work item for operations,Operations,LOW,BLOCKED,33.47,4,1,108.0,86.11,HIGH
Work Item 375,Operational work item for inspection,Inspection,LOW,IN_PROGRESS,19.71,4,3,32.98,197.78,LOW
Work Item 376,Operational work item for development,Development,LOW,IN_PROGRESS,34.48,1,0,11.46,150.48,LOW
Work Item 377,Operational work item for development,Development,MEDIUM,OPEN,36.69,1,4,20.16,177.38,LOW
Work Item 378,Operational work item for operations,Operations,LOW,OPEN,69.16,4,0,21.41,76.32,LOW
Work Item 379,Operational work item for operations,Operations,LOW,OPEN,19.19,2,1,30.83,152.42,LOW
Work Item 380,Operational work item for support,Support,MEDIUM,IN_PROGRESS,5.62,0,1,32.94,144.1,LOW
Work Item 381,Operational work item for support,Support,MEDIUM,IN_PROGRESS,54.39,1,5,53.49,174.44,MEDIUM
Work Item 382,Operational work item for inspection,Inspection,MEDIUM,IN_PROGRESS,2.25,3,5,12.49,174.39,LOW
Work Item 383,Operational work item for operations,Operations,MEDIUM,OPEN,46.69,4,5,31.79,155.58,MEDIUM
Work Item 384,Operational work item for development,Development,MEDIUM,OPEN,48.06,0,7,44.03,83.77,MEDIUM
Work Item 385,Operational work item for development,Development,HIGH,IN_PROGRESS,49.76,4,0,99.82,161.37,MEDIUM
Work Item 386,Operational work item for support,Support,MEDIUM,BLOCKED,6.52,4,7,105.61,156.91,HIGH
Work Item 387,Operational work item for support,Support,MEDIUM,IN_PROGRESS,43.1,4,1,39.96,161.34,LOW
Work Item 388,Operational work item for development,Development,HIGH,IN_PROGRESS,79.54,1,5,66.93,175.89,HIGH
Work Item 389,Operational work item for inspection,Inspection,LOW,DONE,37.75,5,3,10.65,230.88,LOW
Work Item 390,Operational work item for support,Support,MEDIUM,BLOCKED,51.16,0,6,64.3,25.01,HIGH
Work Item 391,Operational work item for operations,Operations,HIGH,IN_PROGRESS,36.58,3,0,36.1,235.53,LOW
Work Item 392,Operational work item for inspection,Inspection,HIGH,IN_PROGRESS,38.52,5,4,14.38,233.85,MEDIUM
Work Item 393,Operational work item for development,Development,MEDIUM,DONE,2.58,3,7,92.23,59.99,HIGH
Work Item 394,Operational work item for support,Support,HIGH,BLOCKED,54.05,3,5,30.85,189.52,HIGH
Work Item 395,Operational work item for operations,Operations,MEDIUM,IN_PROGRESS,69.31,4,7,60.82,39.91,HIGH
Work Item 396,Operational work item for development,Development,MEDIUM,OPEN,5.99,3,0,27.28,83.32,LOW
Work Item 397,Operational work item for operations,Operations,LOW,OPEN,31.09,1,2,28.69,123.31,LOW
Work Item 398,Operational work item for operations,Operations,MEDIUM,BLOCKED,66.2,5,6,113.09,209.85,HIGH
Work Item 399,Operational work item for operations,Operations,LOW,IN_PROGRESS,13.78,5,2,68.95,136.84,LOW
Work Item 400,Operational work item for operations,Operations,HIGH,DONE,31.89,3,6,47.66,130.46,MEDIUM
Work Item 401,Operational work item for operations,Operations,MEDIUM,IN_PROGRESS,50.61,5,7,63.9,173.7,HIGH
Work Item 402,Operational work item for support,Support,HIGH,DONE,12.16,3,5,9.71,97.91,MEDIUM
Work Item 403,Operational work item for support,Support,LOW,OPEN,14.71,1,2,41.53,234.2,LOW
Work Item 404,Operational work item for maintenance,Maintenance,HIGH,IN_PROGRESS,51.64,0,1,15.9,207.16,LOW
Work Item 405,Operational work item for development,Development,HIGH,IN_PROGRESS,73.9,5,0,72.75,184.02,HIGH
Work Item 406,Operational work item for inspection,Inspection,LOW,BLOCKED,14.81,2,2,47.84,36.84,MEDIUM
Work Item 407,Operational work item for development,Development,LOW,IN_PROGRESS,30.04,4,1,60.73,57.35,LOW
Work Item 408,Operational work item for support,Support,MEDIUM,IN_PROGRESS,7.32,3,7,14.64,143.44,MEDIUM
Work Item 409,Operational work item for operations,Operations,LOW,IN_PROGRESS,74.98,3,1,33.33,204.64,LOW
Work Item 410,Operational work item for maintenance,Maintenance,MEDIUM,DONE,1.03,2,5,72.31,88.82,MEDIUM
Work Item 411,Operational work item for inspection,Inspection,LOW,IN_PROGRESS,31.53,4,2,23.01,52.4,LOW
Work Item 412,Operational work item for development,Development,LOW,IN_PROGRESS,39.28,1,4,74.34,72.77,LOW
Work Item 413,Operational work item for maintenance,Maintenance,MEDIUM,IN_PROGRESS,35.0,0,2,8.96,188.28,LOW
Work Item 414,Operational work item for development,Development,MEDIUM,OPEN,21.97,3,0,61.13,239.21,LOW
Work Item 415,Operational work item for operations,Operations,LOW,IN_PROGRESS,65.3,3,3,20.85,158.06,LOW
Work Item 416,Operational work item for inspection,Inspection,MEDIUM,IN_PROGRESS,67.99,1,6,95.05,98.34,HIGH
Work Item 417,Operational work item for inspection,Inspection,LOW,DONE,52.67,2,6,63.06,116.63,MEDIUM
Work Item 418,Operational work item for maintenance,Maintenance,LOW,IN_PROGRESS,14.97,4,5,115.66,61.16,HIGH
Work Item 419,Operational work item for support,Support,MEDIUM,BLOCKED,11.57,4,5,94.84,140.55,HIGH
Work Item 420,Operational work item for development,Development,LOW,OPEN,54.8,4,0,38.82,200.56,LOW
Work Item 421,Operational work item for maintenance,Maintenance,LOW,IN_PROGRESS,50.71,4,1,7.75,12.15,MEDIUM
Work Item 422,Operational work item for support,Support,MEDIUM,DONE,30.34,0,3,77.53,120.84,LOW
Work Item 423,Operational work item for inspection,Inspection,LOW,DONE,22.02,4,1,15.26,207.79,LOW
Work Item 424,Operational work item for inspection,Inspection,MEDIUM,IN_PROGRESS,20.23,1,7,97.28,148.15,MEDIUM
Work Item 425,Operational work item for operations,Operations,HIGH,IN_PROGRESS,68.91,1,4,114.75,33.69,HIGH
Work Item 426,Operational work item for support,Support,MEDIUM,IN_PROGRESS,9.07,0,0,82.58,106.15,LOW
Work Item 427,Operational work item for support,Support,LOW,OPEN,21.12,1,1,4.61,216.62,LOW
Work Item 428,Operational work item for development,Development,LOW,DONE,37.46,2,6,79.12,215.04,MEDIUM
Work Item 429,Operational work item for inspection,Inspection,HIGH,DONE,51.3,0,3,54.07,212.03,MEDIUM
Work Item 430,Operational work item for development,Development,MEDIUM,OPEN,9.35,3,0,53.19,13.38,MEDIUM
Work Item 431,Operational work item for development,Development,MEDIUM,IN_PROGRESS,4.0,2,0,8.65,18.96,LOW
Work Item 432,Operational work item for maintenance,Maintenance,HIGH,BLOCKED,1.96,4,3,88.5,86.07,HIGH
Work Item 433,Operational work item for operations,Operations,LOW,OPEN,24.43,2,3,92.96,159.41,LOW
Work Item 434,Operational work item for maintenance,Maintenance,MEDIUM,IN_PROGRESS,15.63,2,1,11.81,159.15,LOW
Work Item 435,Operational work item for maintenance,Maintenance,HIGH,IN_PROGRESS,61.39,1,5,9.91,124.49,MEDIUM
Work Item 436,Operational work item for maintenance,Maintenance,LOW,OPEN,72.01,0,0,45.83,50.95,LOW
Work Item 437,Operational work item for inspection,Inspection,LOW,OPEN,10.59,5,3,92.96,155.25,MEDIUM
Work Item 438,Operational work item for development,Development,LOW,BLOCKED,42.89,5,6,116.22,192.09,HIGH
Work Item 439,Operational work item for operations,Operations,MEDIUM,IN_PROGRESS,24.13,1,5,58.32,221.03,LOW
Work Item 440,Operational work item for operations,Operations,MEDIUM,DONE,42.14,3,1,15.37,82.51,LOW
Work Item 441,Operational work item for support,Support,MEDIUM,DONE,74.32,0,0,45.12,132.92,LOW
Work Item 442,Operational work item for maintenance,Maintenance,HIGH,IN_PROGRESS,31.7,1,5,32.85,222.94,MEDIUM
Work Item 443,Operational work item for support,Support,MEDIUM,IN_PROGRESS,54.4,2,5,1.53,238.19,LOW
Work Item 444,Operational work item for support,Support,MEDIUM,IN_PROGRESS,54.04,5,6,105.51,63.51,HIGH
Work Item 445,Operational work item for development,Development,MEDIUM,IN_PROGRESS,43.98,4,4,26.53,234.86,MEDIUM
Work Item 446,Operational work item for support,Support,LOW,IN_PROGRESS,60.11,5,6,21.67,14.82,HIGH
Work Item 447,Operational work item for inspection,Inspection,LOW,DONE,26.28,5,2,32.32,130.41,LOW
Work Item 448,Operational work item for development,Development,MEDIUM,IN_PROGRESS,58.51,1,4,82.24,23.87,HIGH
Work Item 449,Operational work item for inspection,Inspection,MEDIUM,DONE,77.25,2,6,100.88,176.41,HIGH
Work Item 450,Operational work item for maintenance,Maintenance,MEDIUM,DONE,43.84,4,0,61.0,72.82,LOW
Work Item 451,Operational work item for maintenance,Maintenance,LOW,IN_PROGRESS,45.64,4,5,104.8,153.44,HIGH
Work Item 452,Operational work item for support,Support,HIGH,IN_PROGRESS,61.13,1,1,1.12,60.71,MEDIUM
Work Item 453,Operational work item for maintenance,Maintenance,HIGH,OPEN,58.39,0,3,11.9,97.56,LOW
Work Item 454,Operational work item for development,Development,LOW,BLOCKED,64.21,2,0,66.61,176.47,MEDIUM
Work Item 455,Operational work item for support,Support,MEDIUM,IN_PROGRESS,49.66,2,1,42.65,188.54,LOW
Work Item 456,Operational work item for development,Development,MEDIUM,OPEN,44.78,5,1,91.32,10.4,HIGH
Work Item 457,Operational work item for inspection,Inspection,MEDIUM,IN_PROGRESS,59.91,5,0,114.97,89.57,MEDIUM
Work Item 458,Operational work item for inspection,Inspection,MEDIUM,IN_PROGRESS,26.83,2,6,36.67,210.64,MEDIUM
Work Item 459,Operational work item for development,Development,LOW,IN_PROGRESS,79.71,3,6,53.83,173.85,HIGH
Work Item 460,Operational work item for operations,Operations,LOW,BLOCKED,71.01,2,1,46.98,100.2,MEDIUM
Work Item 461,Operational work item for operations,Operations,HIGH,IN_PROGRESS,55.95,4,1,74.35,86.61,HIGH
Work Item 462,Operational work item for support,Support,MEDIUM,DONE,63.74,3,0,70.58,116.47,MEDIUM
Work Item 463,Operational work item for development,Development,HIGH,IN_PROGRESS,51.74,4,7,27.05,169.3,HIGH
Work Item 464,Operational work item for inspection,Inspection,LOW,BLOCKED,5.17,1,5,96.6,66.22,HIGH
Work Item 465,Operational work item for support,Support,LOW,IN_PROGRESS,66.18,0,6,9.25,15.94,MEDIUM
Work Item 466,Operational work item for operations,Operations,HIGH,IN_PROGRESS,27.4,5,1,84.92,189.69,MEDIUM
Work Item 467,Operational work item for operations,Operations,LOW,IN_PROGRESS,41.86,4,3,14.69,177.05,LOW
Work Item 468,Operational work item for maintenance,Maintenance,MEDIUM,IN_PROGRESS,19.63,3,0,71.79,177.09,LOW
Work Item 469,Operational work item for development,Development,HIGH,IN_PROGRESS,79.87,3,5,77.11,102.26,HIGH
Work Item 470,Operational work item for maintenance,Maintenance,LOW,DONE,51.26,2,6,49.19,201.87,MEDIUM
Work Item 471,Operational work item for inspection,Inspection,LOW,DONE,31.32,0,1,70.53,45.91,LOW
Work Item 472,Operational work item for operations,Operations,MEDIUM,IN_PROGRESS,29.62,1,2,3.14,7.76,LOW
Work Item 473,Operational work item for operations,Operations,LOW,IN_PROGRESS,66.7,4,5,62.17,73.1,HIGH
Work Item 474,Operational work item for maintenance,Maintenance,LOW,IN_PROGRESS,75.31,1,2,51.56,209.71,LOW
Work Item 475,Operational work item for operations,Operations,LOW,IN_PROGRESS,67.51,4,3,96.32,111.05,HIGH
Work Item 476,Operational work item for development,Development,HIGH,OPEN,39.15,5,1,9.67,175.25,LOW
Work Item 477,Operational work item for maintenance,Maintenance,LOW,IN_PROGRESS,40.22,0,7,87.54,184.19,MEDIUM
Work Item 478,Operational work item for development,Development,HIGH,IN_PROGRESS,13.55,3,3,16.24,180.83,LOW
Work Item 479,Operational work item for development,Development,LOW,OPEN,52.9,3,4,8.27,15.58,MEDIUM
Work Item 480,Operational work item for operations,Operations,HIGH,OPEN,23.29,3,6,29.64,217.69,MEDIUM
Work Item 481,Operational work item for support,Support,HIGH,IN_PROGRESS,20.71,5,6,53.97,186.86,HIGH
Work Item 482,Operational work item for development,Development,MEDIUM,IN_PROGRESS,6.16,4,3,4.03,16.91,MEDIUM
Work Item 483,Operational work item for operations,Operations,HIGH,DONE,72.61,0,4,63.89,99.84,MEDIUM
Work Item 484,Operational work item for development,Development,LOW,OPEN,28.44,1,7,79.65,231.29,MEDIUM
Work Item 485,Operational work item for inspection,Inspection,HIGH,IN_PROGRESS,45.25,4,1,99.34,189.48,HIGH
Work Item 486,Operational work item for inspection,Inspection,MEDIUM,IN_PROGRESS,50.33,4,1,117.55,36.5,HIGH
Work Item 487,Operational work item for support,Support,LOW,BLOCKED,58.29,4,7,40.59,75.47,HIGH
Work Item 488,Operational work item for development,Development,MEDIUM,IN_PROGRESS,75.82,3,0,21.96,7.24,MEDIUM
Work Item 489,Operational work item for development,Development,LOW,DONE,57.88,1,0,102.07,135.57,LOW
Work Item 490,Operational work item for development,Development,HIGH,DONE,42.35,4,4,103.22,174.03,HIGH
Work Item 491,Operational work item for maintenance,Maintenance,LOW,IN_PROGRESS,6.35,5,0,65.22,21.45,MEDIUM
Work Item 492,Operational work item for maintenance,Maintenance,MEDIUM,OPEN,37.21,0,1,19.89,227.08,LOW
Work Item 493,Operational work item for support,Support,LOW,DONE,68.15,1,1,55.48,100.0,LOW
Work Item 494,Operational work item for support,Support,MEDIUM,OPEN,52.43,5,3,7.47,123.98,MEDIUM
Work Item 495,Operational work item for maintenance,Maintenance,HIGH,IN_PROGRESS,64.71,1,2,6.23,189.13,LOW
Work Item 496,Operational work item for operations,Operations,MEDIUM,IN_PROGRESS,16.91,4,3,65.38,182.51,MEDIUM
Work Item 497,Operational work item for support,Support,LOW,OPEN,60.57,4,6,105.55,209.2,HIGH
Work Item 498,Operational work item for operations,Operations,LOW,OPEN,19.86,0,7,118.2,185.74,MEDIUM
Work Item 499,Operational work item for support,Support,MEDIUM,OPEN,3.15,0,7,55.67,218.39,MEDIUM
Work Item 500,Operational work item for maintenance,Maintenance,LOW,OPEN,43.56,3,2,12.66,158.31,LOW
